Bus_No,V_pu,Angle_Degree,Injection_MW,Injection_MVar,Generation_MW,Generation_Mvar,ELoad_MW,ELoad_MVar,CHP_MW,COM_P_MW,Pump_P_MW,EB_P_MW
18,0.9743,-8.7447,-27.2000,-9.8000,0.0000,-0.0000,27.2000,9.8000,0.0000,0.0000,0.0000,0.0000
19,0.9463,-10.6077,-3.3000,-0.6000,0.0000,-0.0000,3.3000,0.6000,0.0000,0.0000,0.0000,0.0000
20,0.9420,-11.0203,-2.3000,-1.0000,0.0000,0.0000,2.3000,1.0000,0.0000,0.0000,0.0000,0.0000
21,0.9913,-10.6044,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.9931,-10.5919,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.9912,-10.6207,-6.3000,-2.1000,0.0000,-0.0000,6.3000,2.1000,0.0000,0.0000,0.0000,0.0000
24,0.9743,-10.3267,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,0.9277,-15.5131,-6.3000,-3.2000,0.0000,0.0000,6.3000,3.2000,0.0000,0.0000,0.0000,0.0000
26,0.9353,-9.9553,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,0.9634,-8.2732,-9.3000,-0.5000,0.0000,0.0000,9.3000,0.5000,0.0000,0.0000,0.0000,0.0000
28,0.9807,-7.1512,-4.6000,-2.3000,0.0000,0.0000,4.6000,2.3000,0.0000,0.0000,0.0000,0.0000
29,0.9958,-6.3897,-17.4204,-2.6001,0.0000,-0.0001,17.0000,2.6000,0.0000,0.0000,0.0000,0.4204
30,0.9099,-16.2003,-3.6000,-1.8000,0.0000,0.0000,3.6000,1.8000,0.0000,0.0000,0.0000,0.0000
31,0.8896,-17.1266,-5.8000,-2.9000,0.0000,0.0000,5.8000,2.9000,0.0000,0.0000,0.0000,0.0000
32,0.9162,-16.4684,-1.6000,-0.8000,0.0000,-0.0000,1.6000,0.8000,0.0000,0.0000,0.0000,0.0000
33,0.9139,-16.5111,-3.8000,-1.9000,0.0000,0.0000,3.8000,1.9000,0.0000,0.0000,0.0000,0.0000
34,0.9409,-11.6699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,0.9494,-11.4525,-6.0000,-3.0000,0.0000,-0.0000,6.0000,3.0000,0.0000,0.0000,0.0000,0.0000
36,0.9602,-11.2021,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,0.9695,-11.0606,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,0.9973,-10.5337,-14.0000,-7.0000,0.0000,-0.0000,14.0000,7.0000,0.0000,0.0000,0.0000,0.0000
39,0.9677,-11.0778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,0.9578,-11.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,0.9912,-9.8477,-6.3000,-3.0000,0.0000,0.0000,6.3000,3.0000,0.0000,0.0000,0.0000,0.0000
42,0.9569,-11.6054,-7.1000,-4.4000,0.0000,-0.0000,7.1000,4.4000,0.0000,0.0000,0.0000,0.0000
43,1.0059,-6.6671,-2.0000,-1.0000,0.0000,0.0000,2.0000,1.0000,0.0000,0.0000,0.0000,0.0000
44,0.9974,-10.4466,-42.0000,-1.8000,0.0000,-0.0000,12.0000,1.8000,0.0000,0.0000,0.0000,0.0000
45,1.0274,-7.4009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,1.0531,-8.4012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,1.0235,-9.9906,-29.7000,-11.6000,0.0000,0.0000,29.7000,11.6000,0.0000,0.0000,0.0000,0.0000
48,1.0161,-10.1402,-0.0565,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0565,0.0000,0.0000
49,1.0290,-10.0647,-18.0000,-8.5000,0.0000,0.0000,18.0000,8.5000,0.0000,0.0000,0.0000,0.0000
50,1.0185,-10.0689,-21.0000,-10.5000,0.0000,-0.0000,21.0000,10.5000,0.0000,0.0000,0.0000,0.0000
51,1.0522,-8.3807,-18.0000,-5.3000,0.0000,0.0000,18.0000,5.3000,0.0000,0.0000,0.0000,0.0000
52,0.9223,-9.9346,-34.9000,-2.2000,0.0000,0.0000,4.9000,2.2000,0.0000,0.0000,0.0000,0.0000
53,0.9158,-9.7442,-20.0000,-10.0000,0.0000,0.0000,20.0000,10.0000,0.0000,0.0000,0.0000,0.0000
54,0.9673,-7.5015,-4.1000,-1.4000,0.0000,-0.0000,4.1000,1.4000,0.0000,0.0000,0.0000,0.0000
55,1.0277,-5.1205,-6.8000,-3.4000,0.0000,0.0000,6.8000,3.4000,0.0000,0.0000,0.0000,0.0000
56,0.9545,-12.4420,-7.6000,-2.2000,0.0000,-0.0000,7.6000,2.2000,0.0000,0.0000,0.0000,0.0000
57,0.9486,-13.1977,-6.7000,-2.0000,0.0000,-0.0000,6.7000,2.0000,0.0000,0.0000,0.0000,0.0000
